"order_id","customer_id","product_id","quantity","order_date"
1,46336,183,9,2024-03-20
2,29884,200,7,2024-02-03
3,33099,88,6,2024-07-05
4,46999,2,9,2024-12-03
5,46294,139,5,2024-12-11
6,19524,48,6,2024-03-09
7,37479,78,7,2024-06-28
8,48351,171,2,2024-12-22
9,47459,27,3,2024-05-19
10,19540,157,4,2024-06-27
11,44152,169,2,2024-11-21
12,40968,175,6,2024-12-02
13,24451,137,1,2024-08-25
14,28813,103,9,2024-12-29
15,39442,173,6,2024-01-26
16,31252,51,3,2024-10-05
17,44135,123,8,2024-05-04
18,37616,134,9,2024-03-13
19,26890,159,9,2024-08-04
20,24739,105,2,2024-10-24
21,5744,19,1,2024-01-26
22,11965,29,6,2024-03-07
23,16874,60,2,2024-07-01
24,9704,132,8,2024-02-27
25,46283,53,10,2024-04-07
26,589,164,6,2024-09-20
27,44645,181,5,2024-10-06
28,26767,53,2,2024-05-02
29,35214,13,10,2024-03-06
30,6400,63,5,2024-02-04
31,12977,30,1,2024-04-26
32,722,104,2,2024-05-01
33,42989,181,3,2024-03-25
34,4300,97,7,2024-04-19
35,8355,120,9,2024-01-29
36,41434,97,8,2024-01-29
37,4616,130,9,2024-10-04
38,25244,16,5,2024-11-20
39,1390,172,6,2024-03-10
40,18104,187,9,2024-05-17
41,9557,149,9,2024-01-08
42,9202,111,4,2024-02-22
43,34885,108,4,2024-05-25
44,10508,125,1,2024-05-04
45,14714,188,8,2024-02-12
46,33010,10,10,2024-02-08
47,40328,26,3,2024-04-19
48,40424,191,9,2024-11-23
49,5268,81,4,2024-02-15
50,35490,173,3,2024-11-09
51,42261,26,6,2024-12-19
52,3071,76,4,2024-04-25
53,747,44,2,2024-08-14
54,3666,80,8,2024-07-02
55,26392,117,5,2024-04-11
56,23709,71,7,2024-06-27
57,39702,99,8,2024-08-26
58,44247,91,1,2024-05-05
59,236,132,9,2024-05-11
60,37159,117,8,2024-09-04
61,9023,163,1,2024-03-03
62,23059,2,5,2024-09-10
63,11243,83,5,2024-04-29
64,28625,106,4,2024-08-23
65,2420,200,10,2024-09-09
66,44353,166,4,2024-12-13
67,13649,170,7,2024-02-27
68,11931,74,3,2024-04-21
69,22170,62,9,2024-08-02
70,44045,142,1,2024-07-29
71,31223,28,1,2024-03-27
72,37673,29,6,2024-02-18
73,49500,77,1,2024-04-04
74,10779,53,7,2024-03-04
75,6400,112,10,2024-04-10
76,29428,91,8,2024-05-02
77,24309,171,10,2024-10-18
78,4607,199,1,2024-01-05
79,45417,58,9,2024-09-03
80,2419,151,3,2024-03-17
81,757,102,1,2024-03-14
82,16024,197,8,2024-03-02
83,7714,18,2,2024-10-22
84,21464,108,2,2024-08-04
85,49682,28,3,2024-10-09
86,38038,124,2,2024-12-14
87,8753,187,1,2024-12-16
88,8222,53,9,2024-09-21
89,24025,178,2,2024-12-28
90,29350,111,7,2024-10-26
91,6044,108,5,2024-08-10
92,21857,172,5,2024-07-25
93,33678,53,9,2024-11-15
94,22620,13,7,2024-02-25
95,25240,78,4,2024-04-29
96,47084,127,2,2024-06-01
97,4593,200,2,2024-02-10
98,27067,29,9,2024-11-23
99,48338,24,10,2024-08-26
100,40595,92,8,2024-02-28
101,44529,44,3,2024-09-02
102,43467,153,10,2024-02-06
103,12526,9,10,2024-02-21
104,13313,162,10,2024-01-19
105,29241,102,10,2024-03-23
106,37778,192,2,2024-02-16
107,11972,13,9,2024-05-29
108,24647,178,1,2024-09-03
109,8202,93,2,2024-06-12
110,1991,107,7,2024-08-10
111,15493,35,1,2024-08-09
112,8255,139,7,2024-07-25
113,6403,164,7,2024-11-28
114,9005,168,9,2024-05-26
115,3869,39,6,2024-02-09
116,487,189,6,2024-06-26
117,4113,183,9,2024-03-25
118,35348,103,9,2024-04-16
119,1457,14,3,2024-12-11
120,47180,155,5,2024-03-26
121,37022,44,5,2024-06-10
122,12766,132,4,2024-11-24
123,17569,27,2,2024-12-16
124,19591,29,8,2024-05-20
125,2584,28,2,2024-10-29
126,20290,149,10,2024-03-12
127,24500,92,10,2024-10-10
128,3055,134,1,2024-06-14
129,11173,47,5,2024-05-03
130,9361,167,1,2024-03-28
131,35680,51,4,2024-05-06
132,41652,147,3,2024-08-15
133,5630,128,6,2024-10-06
134,22723,37,7,2024-07-21
135,40905,200,5,2024-04-22
136,12972,4,5,2024-07-30
137,750,150,4,2024-01-19
138,13476,140,2,2024-12-14
139,45095,166,2,2024-02-29
140,34597,61,3,2024-06-22
141,18820,96,10,2024-07-02
142,3372,135,1,2024-09-26
143,45580,197,4,2024-05-19
144,16009,175,3,2024-08-04
145,40643,99,10,2024-06-09
146,2714,143,7,2024-06-01
147,44443,63,7,2024-10-12
148,2988,200,5,2024-06-09
149,6577,121,5,2024-04-26
150,47508,73,9,2024-01-22
151,1627,52,6,2024-03-19
152,34963,166,3,2024-05-08
153,2966,142,4,2024-05-12
154,2153,19,6,2024-12-07
155,34482,138,6,2024-04-30
156,33092,131,7,2024-10-26
157,5694,122,9,2024-01-02
158,36963,157,8,2024-08-31
159,44088,125,9,2024-04-25
160,4775,25,6,2024-04-03
161,42045,128,6,2024-04-18
162,25674,196,8,2024-03-25
163,23445,181,6,2024-04-23
164,48807,158,4,2024-12-22
165,7092,140,10,2024-10-12
166,22842,89,2,2024-03-28
167,30023,74,1,2024-07-14
168,48490,3,4,2024-08-07
169,374,193,9,2024-12-28
170,39071,6,7,2024-05-14
171,3619,86,4,2024-11-05
172,34749,145,4,2024-08-09
173,45946,69,6,2024-09-29
174,15859,140,9,2024-06-28
175,21547,162,5,2024-12-06
176,7128,28,7,2024-12-07
177,594,130,6,2024-03-02
178,33488,26,1,2024-07-12
179,10529,17,3,2024-04-11
180,28415,111,3,2024-05-02
181,29362,83,4,2024-12-08
182,15950,64,4,2024-10-09
183,23799,123,3,2024-01-21
184,27856,70,8,2024-04-22
185,45033,60,8,2024-08-12
186,855,72,5,2024-06-27
187,8064,69,7,2024-12-17
188,15683,172,10,2024-10-07
189,30742,105,2,2024-08-18
190,45286,29,6,2024-09-12
191,6218,12,9,2024-02-18
192,43976,147,8,2024-12-16
193,7414,9,1,2024-08-11
194,29283,174,1,2024-01-15
195,28326,30,7,2024-07-14
196,11952,176,8,2024-12-05
197,32969,122,4,2024-08-22
198,43729,13,4,2024-03-29
199,25062,44,2,2024-08-07
200,35907,160,9,2024-07-11
201,26366,32,4,2024-10-16
202,42749,140,9,2024-05-27
203,20488,105,4,2024-01-29
204,9052,49,8,2024-04-15
205,37821,26,2,2024-03-17
206,1848,8,8,2024-01-23
207,49596,57,7,2024-08-01
208,34323,96,3,2024-09-24
209,31976,190,4,2024-05-28
210,6578,19,2,2024-11-05
211,26378,186,8,2024-01-11
212,49461,51,10,2024-11-21
213,49270,120,4,2024-09-16
214,3772,172,9,2024-10-12
215,2725,56,1,2024-06-21
216,19635,190,7,2024-01-31
217,47026,95,4,2024-08-28
218,14954,140,3,2024-06-14
219,37429,140,6,2024-04-14
220,38973,14,10,2024-08-13
221,23029,197,1,2024-02-20
222,46801,15,8,2024-03-23
223,29057,1,1,2024-06-13
224,44139,78,3,2024-04-21
225,47956,74,4,2024-08-30
226,23097,192,1,2024-07-29
227,23891,72,3,2024-05-27
228,17080,110,1,2024-05-06
